Route,Incident,Location,Day,Hour,Month
LINE 1,Mechanical,YONGE AND CRESCENT,Tuesday,0,6
95,Cleaning - Unsanitary,RYLANDER AND KINGSTON,Saturday,20,5
113,Mechanical,MAIN STREET STATION,Monday,5,4
52,Emergency Services,LAWRENCE AND BATHURST,Saturday,0,8
126,Operations - Operator,CHRISTIE STATION,Thursday,6,6
29,Vision,DUFFERIN GATE LOOP,Saturday,0,9
19,Collision - TTC,DUPONT AND BEDFORD,Wednesday,9,5
95,Mechanical,1295 MILITARY TRAIL,Saturday,13,2
903,Collision - TTC,MIDLAND AND ROMULUS,Monday,14,5
102,Cleaning - Unsanitary,ST CLAIR AND SANTAMONI,Tuesday,21,8
89,Emergency Services,KEELE STATION,Friday,21,3
995,Mechanical,YORK MILLS STATION,Friday,12,1
960,Mechanical,STEELES AND HILDA,Sunday,10,9
101,Mechanical,DOWNSVIEW PARK STATION,Saturday,10,6
52,Operations - Operator,LAWRENCE AND KEELE,Thursday,18,6
95,Operations - Operator,ELLESMERE AND KENNEDY,Wednesday,14,5
17,Operations - Operator,BIRCHMOUNT AND LAWRENC,Thursday,4,8
89,Investigation,WESTON AND WALSH,Thursday,21,5
29,Vision,DUFFERIN AND RAMSDEN,Monday,17,8
22,Operations - Operator,400 DANFORTH ROAD,Friday,19,8
124,Security,OLD ORCHARD AND AVENUE,Friday,22,3
47,General Delay,LANSDOWNE STATION,Thursday,15,7
89,Collision - TTC,KEELE STATION,Saturday,12,5
36,Operations - Operator,FINCH AND NORFINCH,Sunday,21,2
52,Security,LAWRENCE AND OLYMPIA,Friday,12,5
39,Operations - Operator,FINCH STATION,Thursday,1,9
32,Mechanical,PINE AND LAWRENCE,Wednesday,12,1
63,Collision - TTC,OSSINGTON STATION,Tuesday,17,4
95,Mechanical,ELLESMERE AND MORNELLE,Sunday,7,6
40,Investigation,DUNDAS AND ROYAL YORK,Monday,17,7
29,Operations - Operator,DUFFERIN AND GLENCAIRN,Monday,16,8
94,Collision - TTC,WELLESLEY AND CHURCH,Saturday,7,2
95,Operations - Operator,YORK MILLS STATION,Wednesday,20,6
54,Emergency Services,EGLINTON STATION,Tuesday,0,6
102,Operations - Operator,SHEPPARD AND MARKHAM,Monday,21,7
43,Utilized Off Route,KENNEDY STATION,Monday,16,3
36,Collision - TTC,FINCH AND ISLINGTON,Wednesday,8,2
63,Mechanical,OSSINGTON AND DAVENPOR,Saturday,9,5
94,Collision - TTC,QUEEN'S PARK CRESCENT,Wednesday,16,5
935,Mechanical,JANE AND STANLEY,Friday,11,9
14,Vision,CHAPLIN CRES AND EGLIN,Sunday,23,5
15,Mechanical,SHERWAY GARDENS,Wednesday,13,6
996,Collision - TTC,WILSON STATION,Wednesday,13,4
53,Mechanical,STEELES EAST AND BRIML,Monday,11,7
85,Mechanical,SHEPPARD AND BRIMLEY,Friday,9,1
32,Mechanical,EGLINTON WEST STATION,Sunday,16,1
36,Mechanical,FINCH AND DUFFERIN,Wednesday,6,7
34,Mechanical,EGLINTON AND BRENTCLIF,Friday,6,1
112,Operations - Operator,KIPLING STATION,Wednesday,13,8
129,Mechanical,SCARBOROUGH TOWN CENTR,Sunday,19,9
60,Collision - TTC,STEELES AND HILDA,Saturday,10,4
300,Mechanical,EAST MALL AND BLOOR,Saturday,5,1
89,Security,WESTON RD AND WEST TOR,Saturday,21,6
79,General Delay,LAWRENCE AND JANE,Monday,16,4
123,Mechanical,THE WEST MALL AND DUND,Monday,7,6
129,Cleaning - Unsanitary,KENNEDY AND LAWRENCE,Friday,19,9
41,Investigation,PIONEER VILLAGE STATIO,Wednesday,14,3
116,Security,EGLINTON AND KINGSTON,Friday,9,6
52,Mechanical,LAWRENCE AND CULFORD,Friday,7,3
76,Mechanical,ROYAL YORK AND BLOOR,Friday,23,5
54,Mechanical,EGLINTON STATION,Tuesday,11,7
929,Vision,3612A DUFFERIN STREET,Wednesday,19,7
501,Operations - Operator,KING AND BAY,Saturday,12,2
38,Operations - Operator,LAWSON AND MEADOWVALE,Saturday,12,7
123,Diversion,BROWNS LINE AND EVANS,Wednesday,0,7
341,Vision,KEELE AND DUNDAS,Tuesday,4,9
52,Mechanical,YONGE AND SHEPPARD,Wednesday,6,8
42,Emergency Services,MCNICOLL AND MCCOWAN,Thursday,10,9
89,Operations - Operator,WESTON AND KING,Wednesday,19,8
168,Operations - Operator,SYMINGTON AND DAVENPOR,Saturday,15,5
112,Mechanical,KIPLING STATION,Tuesday,16,5
34,Mechanical,EGLINTON AND DUNFIELD,Thursday,16,4
939,Mechanical,KENNEDY STATION,Thursday,7,3
29,Mechanical,WILSON STATION,Friday,17,4
84,Mechanical,SHEPPARD STATION,Monday,15,5
39,Mechanical,FINCH AND VICTORIA,Sunday,10,4
160,Operations - Operator,WILSON STATION,Monday,17,4
32,Mechanical,EGLINTON WEST STATION,Monday,6,5
29,Operations - Operator,DUFFERIN AND SPRINGHUR,Tuesday,11,3
165,Mechanical,WESTON AND STEELES,Tuesday,1,7
96,Operations - Operator,JANE AND WILSON,Saturday,13,8
20,Security,DANFORTH AND BIRCHMONT,Sunday,12,4
939,Security,SCARBOROUGH CENTRE STA,Tuesday,23,4
960,Mechanical,SIGNAL HILL AND STEELE,Wednesday,12,1
77,Mechanical,WINDERMERE AND WINDERM,Thursday,21,7
904,Operations - Operator,KENNEDY STATION,Tuesday,16,9
985,Mechanical,SHEPPARD AND MIDLAND,Thursday,11,1
85,Mechanical,ROUGE HILL GO STATION,Saturday,13,9
84,Mechanical,SHEPPARD WEST AND BANT,Tuesday,8,5
122,Mechanical,YORK MILLS AND BIRCHWO,Tuesday,15,7
110,Utilized Off Route,ISLINGTON AND SAYBROOK,Thursday,17,4
945,Emergency Services,KIPLING AND DIXON,Monday,18,3
47,Collision - TTC,LANSDOWNE AND ST CLAIR,Thursday,18,6
47,General Delay,LANSDOWNE STATION,Saturday,10,8
86,Mechanical,WALLSEND AND CORONATIO,Saturday,18,8
35,Security,PIONEER VILLAGE STATIO,Sunday,0,6
98,Cleaning - Unsanitary,STEELES AND YONGE,Tuesday,16,3
960,Emergency Services,FINCH STATION,Wednesday,17,7
29,Mechanical,DUFFERIN AND DUFFERIN,Thursday,11,6
32,Vision,BROADVIEW STATION,Tuesday,1,1
927,Operations - Operator,KIPLING STATION,Monday,20,9
45,Cleaning - Unsanitary,KIPLING AND REXDALE,Wednesday,15,9
11,Mechanical,AVENUE AND FAIRLAWN,Friday,6,6
39,Mechanical,NEILSON AND CROW TRAIL,Monday,20,1
7,Investigation,BATHURST AND EGLNTON,Sunday,12,8
35,Mechanical,JANE AND WILSON,Friday,13,1
